label,x1,x2,x3,visit_number,total_visits,entry_idx,exit_idx,visit_length,hit_inner_basin,neg_coords_before,closest_to_xstar,total_wraps
"wraps=2,  x3=-0.82",-2.991592653589793,-2.991592653589793,-0.8158889055244889,1,5,318,349,31,True,"[np.int64(0), np.int64(1)]",0.45835176980876285,10
"wraps=2,  x3=-0.82",-2.991592653589793,-2.991592653589793,-0.8158889055244889,2,5,522,558,36,True,"[np.int64(0), np.int64(1)]",0.22917919901332678,10
"wraps=2,  x3=-0.82",-2.991592653589793,-2.991592653589793,-0.8158889055244889,3,5,727,762,35,True,"[np.int64(0), np.int64(1)]",0.11458850277599923,10
"wraps=2,  x3=-0.82",-2.991592653589793,-2.991592653589793,-0.8158889055244889,4,5,932,970,38,True,"[np.int64(0), np.int64(1)]",0.057295931742859324,10
"wraps=2,  x3=-0.82",-2.991592653589793,-2.991592653589793,-0.8158889055244889,5,5,1139,1179,40,True,"[np.int64(0), np.int64(1)]",0.028649224681572515,10
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,1,6,319,349,30,True,"[np.int64(0), np.int64(1)]",0.6582045583026405,12
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,2,6,525,558,33,True,"[np.int64(0), np.int64(1)]",0.32909932031657624,12
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,3,6,728,763,35,True,"[np.int64(0), np.int64(1)]",0.16454910863438024,12
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,4,6,934,973,39,True,"[np.int64(0), np.int64(1)]",0.08227433911273442,12
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,5,6,1144,1178,34,True,"[np.int64(0), np.int64(1)]",0.04113708388349187,12
"wraps=2,  x3=-0.27",-2.991592653589793,-2.991592653589793,-0.2719629685081628,6,6,1346,1384,38,True,"[np.int64(0), np.int64(1)]",0.020567567309902016,12
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,1,6,528,557,29,True,"[np.int64(0), np.int64(1)]",0.5211314110628913,13
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,2,6,729,765,36,True,"[np.int64(0), np.int64(1)]",0.2605670460065782,13
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,3,6,938,973,35,True,"[np.int64(0), np.int64(1)]",0.130283193167013,13
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,4,6,1145,1180,35,True,"[np.int64(0), np.int64(1)]",0.0651422173151557,13
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,5,6,1352,1391,39,True,"[np.int64(0), np.int64(1)]",0.03257045327418425,13
"wraps=4,  x3=+0.27",-2.991592653589793,-2.991592653589793,0.27196296850816326,6,6,1559,1595,36,True,"[np.int64(0), np.int64(1)]",0.016285073674851457,13
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,1,6,773,805,32,True,"[np.int64(0), np.int64(1)]",0.5125858253576214,16
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,2,6,977,1009,32,True,"[np.int64(0), np.int64(1)]",0.2562927380799419,16
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,3,6,1174,1212,38,True,"[np.int64(0), np.int64(1)]",0.12814807253128285,16
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,4,6,1384,1422,38,True,"[np.int64(0), np.int64(1)]",0.06407484514645352,16
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,5,6,1592,1632,40,True,"[np.int64(0), np.int64(1)]",0.032038136776157466,16
"wraps=6,  x3=+0.82",-2.991592653589793,-2.991592653589793,0.8158889055244893,6,6,1798,1834,36,True,"[np.int64(0), np.int64(1)]",0.01601763516105825,16
"wraps=10, x3=+1.36",-2.991592653589793,-2.991592653589793,1.3598148425408154,1,6,1271,1300,29,True,"[np.int64(0), np.int64(1)]",0.6175853425282084,20
"wraps=10, x3=+1.36",-2.991592653589793,-2.991592653589793,1.3598148425408154,2,6,1477,1511,34,True,"[np.int64(0), np.int64(1)]",0.30879253944031915,20
"wraps=10, x3=+1.36",-2.991592653589793,-2.991592653589793,1.3598148425408154,3,6,1681,1718,37,True,"[np.int64(0), np.int64(1)]",0.1543966166613595,20
"wraps=10, x3=+1.36",-2.991592653589793,-2.991592653589793,1.3598148425408154,4,6,1886,1924,38,True,"[np.int64(0), np.int64(1)]",0.07719791679946289,20
