class,x1,x2,x3,wraps_before_first_simplex,wraps_before_first_contracting,wraps_simplex_to_contracting,first_simplex_idx,first_simplex_exit_idx,same_visit_contracting_idx,first_simplex_after_wrap,wrapped_entry_to_inner_same_visit
late_simplex_no_prior_wrap,-2.991592653589793,-2.991592653589793,-2.991592653589793,0,0,-1,66,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-2.991592653589793,-2.447666716573467,0,0,-1,89,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-2.991592653589793,-1.903740779557141,0,0,-1,90,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-2.991592653589793,-1.359814842540815,0,0,-1,91,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-2.447666716573467,-2.991592653589793,0,0,-1,89,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-1.903740779557141,-2.991592653589793,0,0,-1,90,-1,-1,False,False
late_simplex_no_prior_wrap,-2.991592653589793,-1.359814842540815,-2.991592653589793,0,0,-1,91,-1,-1,False,False
late_simplex_no_prior_wrap,-2.447666716573467,-2.991592653589793,-2.991592653589793,0,0,-1,89,-1,-1,False,False
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,-0.8158889055244889,2,2,0,318,349,318,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,-0.2719629685081628,2,2,0,319,349,319,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,0.27196296850816326,4,4,0,528,557,528,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,0.8158889055244893,6,6,0,773,805,773,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,1.3598148425408154,10,10,0,1271,1300,1271,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,1.903740779557141,14,14,0,1760,1783,1760,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.991592653589793,2.4476667165734676,20,20,0,2482,2507,2482,True,True
event_wrapped_to_inner_same_visit,-2.991592653589793,-2.447666716573467,2.4476667165734676,29,29,0,2740,2771,2740,True,True
